DATE_,COLONYLENGTH,MAX_DEPTH_M,Area_surveyed_m2,SITE,PER_DEAD,LATITUDE,LONGITUDE,YEAR,TAIL_BINS,Data_Source,Bleaching_Period
2/7/2025,NA,11.582400000000000,60,TUT-210,5,-14.301899000000001,-170.679902999999996,2025,NA,esa,Post-Bleaching
2/7/2025,NA,11.582400000000000,60,TUT-210,10,-14.301899000000001,-170.679902999999996,2025,NA,esa,Post-Bleaching
2/7/2025,NA,11.582400000000000,60,TUT-210,5,-14.301899000000001,-170.679902999999996,2025,NA,esa,Post-Bleaching
2/7/2025,NA,13.715999999999999,60,TUT-211,NA,-14.360358000000000,-170.748775999999992,2025,NA,esa,Post-Bleaching
2/7/2025,NA,13.715999999999999,60,TUT-211,NA,-14.360358000000000,-170.748775999999992,2025,NA,esa,Post-Bleaching
2/7/2025,NA,15.240000000000000,60,TUT-212,15,-14.338094999999999,-170.793295999999998,2025,NA,esa,Post-Bleaching
2/7/2025,NA,15.240000000000000,60,TUT-212,1,-14.338094999999999,-170.793295999999998,2025,NA,esa,Post-Bleaching
2/7/2025,NA,15.240000000000000,60,TUT-212,5,-14.338094999999999,-170.793295999999998,2025,NA,esa,Post-Bleaching
2/7/2025,NA,15.240000000000000,60,TUT-212,7,-14.338094999999999,-170.793295999999998,2025,NA,esa,Post-Bleaching
2/7/2025,NA,15.240000000000000,60,TUT-212,2,-14.338094999999999,-170.793295999999998,2025,NA,esa,Post-Bleaching
2/7/2025,NA,15.240000000000000,60,TUT-212,3,-14.338094999999999,-170.793295999999998,2025,NA,esa,Post-Bleaching
2/7/2025,NA,15.240000000000000,60,TUT-212,0,-14.338094999999999,-170.793295999999998,2025,NA,esa,Post-Bleaching
2/7/2025,NA,15.240000000000000,60,TUT-212,10,-14.338094999999999,-170.793295999999998,2025,NA,esa,Post-Bleaching
2/7/2025,NA,15.240000000000000,60,TUT-212,55,-14.338094999999999,-170.793295999999998,2025,NA,esa,Post-Bleaching
2/7/2025,NA,15.240000000000000,60,TUT-212,80,-14.338094999999999,-170.793295999999998,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,85,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,90,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,5,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,90,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,85,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,90,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,90,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,85,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,97,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,98,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,98,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,90,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,65,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,85,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,80,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,85,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,75,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,15.240000000000000,60,TUT-169,25,-14.330384000000000,-170.812347999999986,2025,NA,esa,Post-Bleaching
2/8/2025,NA,10.058400000000001,60,TUT-125,7,-14.349653999999999,-170.788046000000008,2025,NA,esa,Post-Bleaching
2/8/2025,NA,10.058400000000001,60,TUT-125,90,-14.349653999999999,-170.788046000000008,2025,NA,esa,Post-Bleaching
2/8/2025,NA,10.058400000000001,60,TUT-125,95,-14.349653999999999,-170.788046000000008,2025,NA,esa,Post-Bleaching
2/8/2025,NA,10.058400000000001,60,TUT-125,40,-14.349653999999999,-170.788046000000008,2025,NA,esa,Post-Bleaching
2/8/2025,NA,10.058400000000001,60,TUT-125,96,-14.349653999999999,-170.788046000000008,2025,NA,esa,Post-Bleaching
2/8/2025,NA,10.363200000000001,60,TUT-168,15,-14.360877000000000,-170.781335000000013,2025,NA,esa,Post-Bleaching
2/8/2025,NA,10.363200000000001,60,TUT-168,15,-14.360877000000000,-170.781335000000013,2025,NA,esa,Post-Bleaching
2/8/2025,NA,10.363200000000001,60,TUT-168,90,-14.360877000000000,-170.781335000000013,2025,NA,esa,Post-Bleaching
2/8/2025,NA,10.363200000000001,60,TUT-168,8,-14.360877000000000,-170.781335000000013,2025,NA,esa,Post-Bleaching
