"","Date","Surveyor","Camera_Number","MAX_depth_ft","Site","Area_surveyed_m2","AGLO_size_cm","AGLO_partial_mortality","ICRA_percent_partial_mortality","Notes","Sheet_Name","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","MAX_depth_m","Lat","Long","AGLO_pres","ICRA_pres","AGLO_count","ICRA_count"
"29",2025-02-08,"ES",2,50,"TUT-169",60,NA,NA,85,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,-14.330384,-170.812348,1,1,0,59
"30",2025-02-08,"ES",2,50,"TUT-169",60,NA,NA,80,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,-14.330384,-170.812348,1,1,0,59
"31",2025-02-08,"ES",2,50,"TUT-169",60,NA,NA,85,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,-14.330384,-170.812348,1,1,0,59
"32",2025-02-08,"ES",2,50,"TUT-169",60,NA,NA,75,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,-14.330384,-170.812348,1,1,0,59
"33",2025-02-08,"ES",2,50,"TUT-169",60,NA,NA,25,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,-14.330384,-170.812348,1,1,0,59
"34",2025-02-08,"ES",2,33,"TUT-125",60,NA,NA,7,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.349654,-170.788046,1,1,3,22
"35",2025-02-08,"ES",2,33,"TUT-125",60,NA,NA,90,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.349654,-170.788046,1,1,3,22
"36",2025-02-08,"ES",2,33,"TUT-125",60,NA,NA,95,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.349654,-170.788046,1,1,3,22
"37",2025-02-08,"ES",2,33,"TUT-125",60,NA,NA,40,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.349654,-170.788046,1,1,3,22
"38",2025-02-08,"ES",2,33,"TUT-125",60,NA,NA,96,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.349654,-170.788046,1,1,3,22
"39",2025-02-08,"ES",2,34,"TUT-168",60,43,0,15,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"40",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,15,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"41",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,90,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"42",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,8,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"43",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,30,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"44",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,90,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"45",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,80,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"46",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,10,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"47",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,5,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"48",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,3,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"49",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,30,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"50",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,35,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"51",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,3,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"52",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,10,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
