"COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","SITE","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Bleaching_Period","Survey_Type"
NA,10.3632,60,"TUT-168",40,-14.360877,-170.781335,"2025",NA,"Post-Bleaching","60m"
NA,10.3632,60,"TUT-168",80,-14.360877,-170.781335,"2025",NA,"Post-Bleaching","60m"
NA,10.3632,60,"TUT-168",70,-14.360877,-170.781335,"2025",NA,"Post-Bleaching","60m"
NA,10.3632,60,"TUT-168",70,-14.360877,-170.781335,"2025",NA,"Post-Bleaching","60m"
NA,10.3632,60,"TUT-168",65,-14.360877,-170.781335,"2025",NA,"Post-Bleaching","60m"
NA,10.3632,60,"TUT-168",50,-14.360877,-170.781335,"2025",NA,"Post-Bleaching","60m"
NA,10.3632,60,"TUT-168",0,-14.360877,-170.781335,"2025",NA,"Post-Bleaching","60m"
NA,10.3632,60,"TUT-168",85,-14.360877,-170.781335,"2025",NA,"Post-Bleaching","60m"
NA,14.3256,60,"TUT-035",NA,-14.256289,-170.605873,"2025",NA,"Post-Bleaching","60m"
NA,9.7536,60,"TUT-204",5,-14.29099,-170.560818,"2025",NA,"Post-Bleaching","60m"
NA,9.7536,60,"TUT-204",15,-14.29099,-170.560818,"2025",NA,"Post-Bleaching","60m"
NA,9.7536,60,"TUT-204",NA,-14.29099,-170.560818,"2025",NA,"Post-Bleaching","60m"
NA,11.8872,60,"TUT-120",75,-14.293418,-170.65432,"2025",NA,"Post-Bleaching","60m"
NA,11.8872,60,"TUT-120",50,-14.293418,-170.65432,"2025",NA,"Post-Bleaching","60m"
NA,15.24,60,"TUT-113",NA,-14.323617,-170.67021,"2025",NA,"Post-Bleaching","60m"
NA,9.4488,60,"TUT-093",10,-14.337165,-170.711077,"2025",NA,"Post-Bleaching","60m"
NA,9.4488,60,"TUT-093",8,-14.337165,-170.711077,"2025",NA,"Post-Bleaching","60m"
NA,9.4488,60,"TUT-093",20,-14.337165,-170.711077,"2025",NA,"Post-Bleaching","60m"
NA,9.4488,60,"TUT-093",30,-14.337165,-170.711077,"2025",NA,"Post-Bleaching","60m"
NA,9.4488,60,"TUT-093",30,-14.337165,-170.711077,"2025",NA,"Post-Bleaching","60m"
NA,14.6304,60,"TUT-208",10,-14.348332,-170.725342,"2025",NA,"Post-Bleaching","60m"
NA,14.9352,60,"TUT-206",NA,-14.316944,-170.69317,"2025",NA,"Post-Bleaching","60m"
NA,6.096,60,"TUT-207",5,-14.303783,-170.683308,"2025",NA,"Post-Bleaching","60m"
NA,6.096,60,"TUT-207",40,-14.303783,-170.683308,"2025",NA,"Post-Bleaching","60m"
NA,6.096,60,"TUT-207",35,-14.303783,-170.683308,"2025",NA,"Post-Bleaching","60m"
NA,10.0584,60,"TUT-091",5,-14.278903,-170.586065,"2025",NA,"Post-Bleaching","60m"
