YEAR,SITE,LATITUDE,LONGITUDE,MAX_DEPTH_M,SURVEYAREA,DENSITY
2015,TUT-01525,-14.254759999999999,-170.558899999999994,12.800979999999999,10.000000000000000,0.000000000000000
2015,TUT-01551,-14.249870000000000,-170.562299999999993,15.544040000000001,10.000000000000000,0.400000000000000
2015,TUT-01708,-14.294100000000000,-170.562099999999987,11.886620000000001,10.000000000000000,0.000000000000000
2015,TUT-01715,-14.290250000000000,-170.550500000000000,12.800979999999999,10.000000000000000,0.100000000000000
2015,TUT-01783,-14.280620000000001,-170.544900000000013,14.629690000000000,9.000000000000000,0.000000000000000
2015,TUT-01784,-14.280810000000001,-170.546099999999996,12.191409999999999,10.000000000000000,0.000000000000000
2015,TUT-01785,-14.277839999999999,-170.544999999999987,17.372750000000000,10.000000000000000,1.000000000000000
2015,TUT-01795,-14.275770000000000,-170.546500000000009,17.677540000000000,10.000000000000000,0.700000000000000
2015,TUT-01854,-14.316190000000001,-170.650299999999987,15.544040000000001,10.000000000000000,0.000000000000000
2015,TUT-01855,-14.283350000000000,-170.562700000000007,14.020120000000000,10.000000000000000,0.100000000000000
2015,TUT-01858,-14.283709999999999,-170.628399999999999,15.848830000000000,10.000000000000000,0.200000000000000
2015,TUT-01871,-14.288180000000001,-170.641199999999998,23.163670000000000,10.000000000000000,0.000000000000000
2015,TUT-01872,-14.286199999999999,-170.600099999999998,15.544040000000001,10.000000000000000,1.800000000000000
2015,TUT-01878,-14.293550000000000,-170.653300000000002,17.067969999999999,15.000000000000000,0.066666666666667
2015,TUT-01887,-14.322460000000000,-170.669199999999989,12.800979999999999,10.000000000000000,0.000000000000000
2015,TUT-01913,-14.273070000000001,-170.570799999999991,11.277049999999999,8.500000000000000,0.117647058823529
2015,TUT-01962,-14.364870000000000,-170.743300000000005,16.763179999999998,10.000000000000000,0.300000000000000
2015,TUT-01966,-14.368150000000000,-170.753899999999987,16.458400000000001,10.000000000000000,0.000000000000000
2015,TUT-02005,-14.363320000000000,-170.767599999999987,16.763179999999998,10.000000000000000,0.000000000000000
2015,TUT-02006,-14.369400000000001,-170.762100000000004,14.020120000000000,17.000000000000000,0.000000000000000
2015,TUT-02014,-14.362510000000000,-170.765800000000013,14.629690000000000,10.000000000000000,0.200000000000000
2015,TUT-02016,-14.365410000000001,-170.763000000000005,14.934469999999999,17.050000000000001,0.000000000000000
2015,TUT-02065,-14.339880000000001,-170.790899999999993,15.848830000000000,12.500000000000000,0.000000000000000
2015,TUT-02070,-14.342190000000000,-170.719500000000011,14.934469999999999,10.000000000000000,0.000000000000000
2015,TUT-02079,-14.303929999999999,-170.687800000000010,13.410550000000001,19.500000000000000,0.000000000000000
2015,TUT-02085,-14.333140000000000,-170.698599999999999,14.020120000000000,10.000000000000000,0.000000000000000
2015,TUT-02086,-14.354600000000000,-170.787299999999988,14.629690000000000,10.000000000000000,0.300000000000000
2015,TUT-02094,-14.316459999999999,-170.693700000000007,15.239260000000000,10.000000000000000,0.000000000000000
2015,TUT-02110,-14.337330000000000,-170.707400000000007,14.629690000000000,10.000000000000000,0.000000000000000
2015,TUT-02208,-14.288360000000001,-170.677699999999987,11.581830000000000,10.000000000000000,0.000000000000000
2015,TUT-02209,-14.287330000000001,-170.675000000000011,13.715330000000000,10.000000000000000,0.000000000000000
2015,TUT-02210,-14.289210000000001,-170.676700000000011,14.324900000000000,10.000000000000000,0.000000000000000
2015,TUT-02211,-14.289910000000001,-170.674200000000013,13.410550000000001,10.000000000000000,0.000000000000000
2015,TUT-02218,-14.293699999999999,-170.674900000000008,14.020120000000000,10.000000000000000,0.000000000000000
2015,TUT-02219,-14.290430000000001,-170.676600000000008,13.715330000000000,8.750000000000000,0.000000000000000
2018,TUT-02808,-14.296500000000000,-170.566100000000006,14.020120000000000,10.000000000000000,0.000000000000000
2018,TUT-02812,-14.295019999999999,-170.558199999999999,14.629690000000000,10.000000000000000,0.000000000000000
2018,TUT-02854,-14.365349999999999,-170.752499999999998,14.020120000000000,10.000000000000000,0.000000000000000
2018,TUT-02855,-14.360110000000001,-170.749300000000005,13.715330000000000,10.000000000000000,0.000000000000000
2018,TUT-02871,-14.365119999999999,-170.763499999999993,15.544040000000001,10.000000000000000,0.000000000000000
2018,TUT-02874,-14.361910000000000,-170.764800000000008,14.020120000000000,10.000000000000000,0.000000000000000
2018,TUT-03020,-14.336620000000000,-170.804100000000005,13.715330000000000,10.000000000000000,3.700000000000000
2018,TUT-03021,-14.343740000000000,-170.789099999999991,16.153610000000000,10.000000000000000,0.700000000000000
2018,TUT-05004,-14.280960000000000,-170.561499999999995,14.629690000000000,10.000000000000000,0.000000000000000
2018,TUT-05005,-14.276830000000000,-170.557600000000008,13.715330000000000,10.000000000000000,0.000000000000000
2023,TUT-05743,-14.279750000000000,-170.619599999999991,14.934469999999999,10.000000000000000,0.100000000000000
2023,TUT-05788,-14.361150000000000,-170.748300000000000,13.105760000000000,10.000000000000000,0.000000000000000
